"(6, 8)","[[12, 10, 0], [12, 9, 0]]"
"(8, 14)","[[12, 9, 0], [13, 9, 0], [13, 8, 0], [13, 7, 0], [13, 6, 0], [13, 5, 0]]"
"(11, 5)","[[4, 7, 0], [3, 7, 0], [3, 8, 0], [3, 9, 0], [3, 10, 0]]"
"(14, 19)","[[13, 5, 0], [13, 5, 1], [12, 5, 1], [11, 5, 1], [11, 4, 1], [11, 4, 0]]"
"(23, 12)","[[9, 2, 0], [10, 2, 0], [11, 2, 0], [11, 3, 0], [11, 3, 1], [11, 3, 2], [11, 4, 2], [11, 5, 2], [11, 6, 2], [11, 7, 2], [11, 7, 1], [11, 7, 0]]"
"(4, 6)","[[15, 11, 0], [14, 11, 0], [13, 11, 0], [12, 11, 0], [12, 10, 0]]"
"(21, 11)","[[1, 3, 0], [1, 3, 1], [2, 3, 1], [3, 3, 1], [4, 3, 1], [4, 4, 1], [4, 5, 1], [4, 6, 1], [4, 7, 1], [4, 7, 0]]"
"(23, 17)","[[9, 2, 0], [8, 2, 0], [7, 2, 0], [6, 2, 0], [6, 3, 0], [6, 4, 0]]"
"(23, 14)","[[9, 2, 0], [9, 2, 1], [10, 2, 1], [11, 2, 1], [12, 2, 1], [13, 2, 1], [13, 3, 1], [13, 3, 2], [13, 4, 2], [13, 5, 2], [14, 5, 2], [14, 5, 1], [14, 5, 0], [14, 5, 0], [13, 5, 0]]"
"(20, 3)","[[15, 4, 0], [15, 4, 1], [14, 4, 1], [14, 4, 2], [14, 4, 3], [13, 4, 3], [12, 4, 3], [11, 4, 3], [10, 4, 3], [10, 5, 3], [10, 6, 3], [10, 7, 3], [10, 8, 3], [10, 9, 3], [10, 10, 3], [10, 11, 3], [10, 11, 2], [10, 11, 1], [10, 11, 0]]"
"(17, 10)","[[6, 4, 0], [5, 4, 0], [4, 4, 0], [4, 5, 0], [4, 6, 0], [5, 6, 0], [5, 6, 1], [5, 6, 2], [4, 6, 2], [3, 6, 2], [2, 6, 2], [1, 6, 2], [1, 7, 2], [1, 7, 1], [1, 7, 0]]"
"(16, 9)","[[2, 4, 0], [2, 4, 1], [3, 4, 1], [3, 4, 2], [4, 4, 2], [5, 4, 2], [6, 4, 2], [7, 4, 2], [8, 4, 2], [8, 5, 2], [8, 6, 2], [8, 7, 2], [8, 8, 2], [8, 8, 1], [8, 8, 0]]"
"(24, 9)","[[1, 1, 0], [1, 1, 1], [2, 1, 1], [3, 1, 1], [4, 1, 1], [5, 1, 1], [6, 1, 1], [7, 1, 1], [8, 1, 1], [8, 2, 1], [8, 3, 1], [8, 4, 1], [8, 5, 1], [8, 6, 1], [8, 7, 1], [9, 7, 1], [9, 8, 1], [9, 8, 1], [9, 8, 2], [9, 8, 3], [8, 8, 3], [8, 9, 3], [8, 9, 2], [8, 9, 1], [8, 9, 0], [8, 8, 0]]"
"(16, 18)","[[2, 4, 0], [2, 5, 0], [2, 5, 1], [3, 5, 1], [3, 5, 2], [4, 5, 2], [5, 5, 2], [6, 5, 2], [7, 5, 2], [7, 5, 3], [8, 5, 3], [9, 5, 3], [9, 4, 3], [9, 4, 2], [9, 4, 1], [9, 4, 0]]"
"(11, 8)","[[4, 7, 0], [5, 7, 0], [6, 7, 0], [7, 7, 0], [8, 7, 0], [9, 7, 0], [10, 7, 0], [10, 7, 1], [10, 7, 2], [10, 8, 2], [11, 8, 2], [11, 8, 3], [12, 8, 3], [12, 9, 3], [13, 9, 3], [13, 9, 2], [13, 9, 1], [14, 9, 1], [14, 9, 0], [14, 9, 0], [14, 8, 0], [14, 8, 1], [13, 8, 1], [12, 8, 1], [12, 9, 1], [12, 9, 0]]"
"(3, 21)","[[10, 11, 0], [9, 11, 0], [8, 11, 0], [7, 11, 0], [7, 11, 1], [6, 11, 1], [5, 11, 1], [4, 11, 1], [3, 11, 1], [2, 11, 1], [1, 11, 1], [1, 10, 1], [1, 9, 1], [1, 8, 1], [1, 8, 2], [1, 8, 3], [1, 7, 3], [1, 6, 3], [1, 5, 3], [1, 4, 3], [1, 3, 3], [1, 3, 2], [0, 3, 2], [0, 3, 1], [0, 3, 0], [0, 3, 0], [1, 3, 0]]"
"(8, 10)","[[12, 9, 0], [11, 9, 0], [10, 9, 0], [9, 9, 0], [9, 9, 1], [9, 9, 2], [9, 9, 3], [9, 9, 4], [8, 9, 4], [7, 9, 4], [6, 9, 4], [5, 9, 4], [4, 9, 4], [3, 9, 4], [2, 9, 4], [1, 9, 4], [1, 8, 4], [1, 7, 4], [0, 7, 4], [0, 7, 3], [0, 7, 2], [0, 7, 1], [0, 7, 0], [0, 7, 0], [1, 7, 0]]"
"(4, 5)","[[15, 11, 0], [15, 11, 1], [14, 11, 1], [13, 11, 1], [12, 11, 1], [11, 11, 1], [11, 11, 2], [11, 11, 3], [11, 11, 4], [10, 11, 4], [9, 11, 4], [8, 11, 4], [7, 11, 4], [6, 11, 4], [5, 11, 4], [4, 11, 4], [3, 11, 4], [3, 10, 4], [3, 10, 3], [3, 10, 2], [2, 10, 2], [2, 10, 1], [2, 10, 0], [2, 10, 0], [3, 10, 0]]"
"(4, 24)","[[15, 11, 0], [15, 10, 0], [15, 9, 0], [15, 8, 0], [15, 7, 0], [15, 6, 0], [15, 5, 0], [15, 5, 1], [15, 5, 2], [15, 5, 3], [15, 5, 4], [15, 5, 5], [15, 4, 5], [15, 3, 5], [15, 2, 5], [15, 1, 5], [15, 1, 5], [14, 1, 5], [13, 1, 5], [12, 1, 5], [11, 1, 5], [10, 1, 5], [9, 1, 5], [8, 1, 5], [7, 1, 5], [6, 1, 5], [5, 1, 5], [4, 1, 5], [3, 1, 5], [2, 1, 5], [1, 1, 5], [1, 1, 4], [1, 1, 3], [1, 1, 2], [1, 0, 2], [1, 0, 1], [1, 0, 0], [1, 1, 0]]"
"(4, 1)","[[15, 11, 0], [15, 12, 0], [14, 12, 0], [13, 12, 0], [12, 12, 0], [11, 12, 0], [10, 12, 0], [9, 12, 0], [8, 12, 0], [7, 12, 0], [6, 12, 0], [5, 12, 0], [4, 12, 0], [3, 12, 0], [2, 12, 0], [1, 12, 0], [1, 11, 0]]"
"(15, 7)","[[16, 5, 0], [16, 5, 1], [16, 5, 2], [16, 5, 3], [16, 5, 4], [16, 5, 5], [16, 5, 6], [15, 5, 6], [14, 5, 6], [14, 6, 6], [14, 7, 6], [14, 8, 6], [14, 9, 6], [14, 10, 6], [14, 10, 5], [14, 10, 4], [14, 10, 3], [14, 10, 2], [14, 10, 1], [14, 10, 0]]"
"(22, 16)","[[2, 2, 0], [2, 3, 0], [2, 4, 0]]"
"(25, 12)","[[12, 1, 0], [11, 1, 0], [11, 1, 1], [11, 1, 2], [11, 2, 2], [11, 2, 3], [11, 2, 4], [11, 3, 4], [11, 4, 4], [11, 5, 4], [11, 6, 4], [11, 7, 4], [11, 7, 3], [11, 6, 3], [11, 5, 3], [12, 5, 3], [12, 6, 3], [12, 7, 3], [13, 7, 3], [13, 7, 2], [13, 7, 1], [12, 7, 1], [12, 7, 0], [12, 7, 0], [11, 7, 0]]"
"(6, 20)","[[12, 10, 0], [13, 10, 0], [13, 10, 1], [13, 10, 2], [13, 10, 3], [13, 10, 4], [13, 10, 5], [13, 10, 6], [13, 10, 7], [14, 10, 7], [15, 10, 7], [15, 9, 7], [15, 8, 7], [15, 7, 7], [15, 6, 7], [15, 5, 7], [15, 4, 7], [15, 4, 6], [16, 4, 6], [16, 4, 5], [16, 4, 4], [16, 4, 3], [16, 4, 2], [16, 4, 1], [16, 4, 0], [16, 4, 0], [15, 4, 0]]"
"(20, 21)","[[15, 4, 0], [14, 4, 0], [13, 4, 0], [12, 4, 0], [12, 4, 1], [12, 4, 2], [12, 3, 2], [12, 3, 3], [11, 3, 3], [10, 3, 3], [9, 3, 3], [8, 3, 3], [7, 3, 3], [6, 3, 3], [5, 3, 3], [4, 3, 3], [3, 3, 3], [3, 3, 4], [3, 3, 5], [2, 3, 5], [1, 3, 5], [1, 2, 5], [1, 2, 4], [1, 2, 3], [1, 2, 2], [1, 2, 1], [1, 2, 0], [1, 3, 0]]"
"(16, 6)","[[2, 4, 0], [3, 4, 0], [3, 5, 0], [3, 6, 0], [3, 6, 1], [3, 7, 1], [3, 7, 2], [4, 7, 2], [5, 7, 2], [6, 7, 2], [7, 7, 2], [7, 7, 3], [8, 7, 3], [9, 7, 3], [9, 7, 4], [10, 7, 4], [10, 7, 5], [11, 7, 5], [12, 7, 5], [12, 8, 5], [12, 9, 5], [12, 10, 5], [12, 10, 4], [12, 10, 3], [12, 10, 2], [12, 10, 1], [12, 10, 0]]"
"(1, 2)","[[1, 11, 0], [2, 11, 0], [3, 11, 0], [4, 11, 0], [5, 11, 0], [6, 11, 0]]"
"(4, 16)","[[15, 11, 0], [16, 11, 0], [16, 11, 1], [16, 11, 2], [15, 11, 2], [14, 11, 2], [13, 11, 2], [12, 11, 2], [12, 11, 3], [12, 11, 4], [12, 11, 5], [11, 11, 5], [10, 11, 5], [9, 11, 5], [8, 11, 5], [7, 11, 5], [6, 11, 5], [5, 11, 5], [4, 11, 5], [3, 11, 5], [2, 11, 5], [2, 10, 5], [2, 9, 5], [2, 8, 5], [2, 7, 5], [2, 6, 5], [2, 5, 5], [2, 4, 5], [2, 4, 4], [2, 4, 3], [2, 4, 2], [1, 4, 2], [1, 4, 1], [1, 4, 0], [1, 4, 0], [2, 4, 0]]"
